Event Name,Event Date,Links,Event URL
Nightz - Every Thursday,14 augustus 2025,https://www.bitterzoet.com/,https://www.djguide.nl/party.p/516736/nightz-every-thursday
Super Summer (19+),14 augustus 2025,https://chicagosocialclub.nl/,https://www.djguide.nl/party.p/534430/super-summer-19
Mémoire - 18+,14 augustus 2025,https://www.chinchinclub.nl/,https://www.djguide.nl/party.p/533793/mmoire-18
Nyx Op Donderdag,14 augustus 2025,https://clubnyx.nl/ | https://www.nyxopdonderdag.nl/,https://www.djguide.nl/party.p/534559/nyx-op-donderdag
Jueves Latino (Latin Night),14 augustus 2025,https://www.cluboutamsterdam.nl/,https://www.djguide.nl/party.p/534697/jueves-latino-latin-night
Prime | Plus One+,14 augustus 2025,https://www.clubprime.nl/,https://www.djguide.nl/party.p/534429/prime-plus-one
East Techno Collective,14 augustus 2025,https://nl.ra.co/events/2185287 | https://www.clubup.nl/,https://www.djguide.nl/party.p/530447/east-techno-collective
"Radio Hinter: Loading... w/ Weave, WHO/HOW, PEBMAC, and SUBS&DUBS",14 augustus 2025,https://www.derhintergarten.nl/,https://www.djguide.nl/party.p/534231/radio-hinter-loading...-w-weave-whohow-pebmac-and-subsdubs
Video,14 augustus 2025,https://escape.nl/,https://www.djguide.nl/party.p/531784/video
"Perreo31 w/ Bigote, Eurowitch, Veinte Uñas, Dj Panama b2b Korny",14 augustus 2025,https://www.garagenoord.com/club/perreo31,https://www.djguide.nl/party.p/534071/perreo31-w-bigote-eurowitch-veinte-uas-dj-panama-b2b-korny
Thirsty Thursdays,14 augustus 2025,https://ibizalounge.amsterdam/,https://www.djguide.nl/party.p/534211/thirsty-thursdays
ThirstdaysTM - By Jimmy Woo (19+),14 augustus 2025,https://www.jimmywoo.com/,https://www.djguide.nl/party.p/529721/thirstdaystm-by-jimmy-woo-19
Techno Sessions,14 augustus 2025,https://www.clubjohndoe.nl/,https://www.djguide.nl/party.p/532486/techno-sessions
Bambu,14 augustus 2025,https://www.oliva-amsterdam.nl/,https://www.djguide.nl/party.p/522635/bambu
Velvet Thursdays x Filo,14 augustus 2025,https://soulkitchenamsterdam.nl/,https://www.djguide.nl/party.p/534228/velvet-thursdays-x-filo
KAZI,14 augustus 2025,"https://maps.google.com/maps?q=52.37209,4.890937",https://www.djguide.nl/party.p/532485/kazi
Spanish Heat - Amsterdam,14 augustus 2025,"https://maps.google.com/maps?q=52.363755,4.883939 | https://thechupitosclub.com/ | https://www.spanishheat.com/",https://www.djguide.nl/party.p/532340/spanish-heat-amsterdam
Dale Tequila w/ D-Rashid & Friends,14 augustus 2025,"https://maps.google.com/maps?q=52.363755,4.883939 | https://thetequilaclub.nl/",https://www.djguide.nl/party.p/536031/dale-tequila-w-d-rashid-friends
Taylor Swift Party - All Eras All Night,14 augustus 2025,"https://maps.google.com/maps?q=52.396704,4.875716 | https://www.toekomstmuziek.com/",https://www.djguide.nl/party.p/536174/taylor-swift-party-all-eras-all-night
Boerenrockfestival 2025 - donderdag,14 augustus 2025,"https://maps.google.com/maps?q=52.970281,6.87574 | https://www.boerenrock-festival.nl/ | https://www.ticketswap.com/event/boerenrock-2025/6d8be010-68da-4d75-a9b2-7f9b56b828a1?utm_source=djguide&utm_medium=affiliate&utm_campaign=djguide_affiliate&utm_content=website",https://www.djguide.nl/party.p/528055/boerenrockfestival-2025-donderdag
Nu sta je hier - Osse Kermisfeesten,14 augustus 2025,"https://maps.google.com/maps?q=51.770347,5.525927 | https://www.nustajehier.nl/ | https://www.onsz-restaurant.nl/",https://www.djguide.nl/party.p/534994/nu-sta-je-hier-osse-kermisfeesten
Latin Thursday,14 augustus 2025,"https://bird-rotterdam.nl/garden | https://maps.google.com/maps?q=51.926709,4.47881",https://www.djguide.nl/party.p/524607/latin-thursday
All Night Soundsystems,15 augustus 2025,"https://maps.google.com/maps?q=52.372263,4.88949 | https://www.bitterzoet.com/",https://www.djguide.nl/party.p/535351/all-night-soundsystems
Bordello A Parigi - Italo Boat Party,15 augustus 2025,"http://www.bordelloaparigi.com/ | https://maps.google.com/maps?q=52.380847,4.89911",https://www.djguide.nl/party.p/531746/bordello-a-parigi-italo-boat-party
Cinthie & Ferro X BRET (18+),15 augustus 2025,"https://maps.google.com/maps?q=52.39007,4.837281 | https://www.bret.bar/",https://www.djguide.nl/party.p/534637/cinthie-ferro-x-bret-18
Hitjesgolf XL (20+),15 augustus 2025,"https://chicagosocialclub.nl/ | https://linktr.ee/hitjesgolf | https://maps.google.com/maps?q=52.364666,4.882583",https://www.djguide.nl/party.p/533967/hitjesgolf-xl-20
Fusion - 20+,15 augustus 2025,"https://maps.google.com/maps?q=52.372688,4.878902 | https://www.chinchinclub.nl/",https://www.djguide.nl/party.p/533881/fusion-20
Summer Breeze Latin Night at WestWeelde - Summer 2025 #10,14 augustus 2025,https://www.westweelde.nl/,https://www.djguide.nl/party.p/530338/summer-breeze-latin-night-at-westweelde-summer-2025-10
Around The World,14 augustus 2025,https://www.tramzicht.nl/,https://www.djguide.nl/party.p/533420/around-the-world
Disco-train 70s 80s 90s Party - Amstelveen,15 augustus 2025,https://www.clubnouvelle.nl/ | https://www.disco-train.nl/,https://www.djguide.nl/party.p/515314/disco-train-70s-80s-90s-party-amstelveen
SUMMER VIBES: A Brand-New summer pop-up by Club Leidse,15 augustus 2025,https://www.club-leidse.com/,https://www.djguide.nl/party.p/533113/summer-vibes-a-brand-new-summer-pop-up-by-club-leidse
De Dansvloer,14 augustus 2025,https://www.nar.nl/,https://www.djguide.nl/party.p/530750/de-dansvloer
Love Afrobeats,15 augustus 2025,https://www.clubnoir-amsterdam.nl/,https://www.djguide.nl/party.p/534433/love-afrobeats
Vrijdag is NYX,15 augustus 2025,https://clubnyx.nl/ | https://www.ticketswap.com/event/vrijdag-is-nyx/b3480c3c-a965-49d3-bb1b-2962080b4185?utm_source=djguide&utm_medium=affiliate&utm_campaign=djguide_affiliate&utm_content=website,https://www.djguide.nl/party.p/532301/vrijdag-is-nyx
Old Skool Reggaeton Party,15 augustus 2025,https://www.cluboutamsterdam.nl/ | https://www.fourvenues.com/en/club-out1/events/old-school-reggaeton-party-15-08-2025-62D1,https://www.djguide.nl/party.p/534699/noche-latina-latin-night
Prime | Wildcard,15 augustus 2025,https://www.clubprime.nl/,https://www.djguide.nl/party.p/534434/prime-wildcard
Skank Out,15 augustus 2025,https://www.clubup.nl/ | https://www.ticketswap.com/event/skank-out-straight-from-the-uk-to-amsterdam/632fdc1f-694a-4916-9a00-bc9039e7020e?utm_source=djguide&utm_medium=affiliate&utm_campaign=djguide_affiliate&utm_content=website,https://www.djguide.nl/party.p/533834/skank-out
Hip Hop & R&B - All Night,15 augustus 2025,https://cafededuivel.amsterdam/,https://www.djguide.nl/party.p/535828/hip-hop-rb-all-night
"FERMI Presents Gero, Loud-E, Daiki, Field Notes DJs",15 augustus 2025,https://www.derhintergarten.nl/,https://www.djguide.nl/party.p/534229/fermi-presents-gero-loud-e-daiki-field-notes-djs
Doka Studio w/ Aurelius - Nedda Sou,15 augustus 2025,https://doka.weticket.io/doka-studio-w-aurelius-nedda-sou | https://www.volkshotel.nl/doka,https://www.djguide.nl/party.p/533565/doka-studio-w-aurelius-nedda-sou
HouseRules,15 augustus 2025,https://escape.nl/,https://www.djguide.nl/party.p/531785/houserules
